Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
NQ,Fast,2024-11-04 15:50:00,2024-11-05 15:50:00,20389.25,20646.0,1.0,5135.0,783275.0,0.1027,7.83275,0.0,24.0,LE2.Fast.C,LX2.Fast.C,1225.0,-5650.0,0.9251
NQ,Slow,2024-11-14 15:20:00,2024-11-18 15:20:00,21237.25,20921.0,1.0,-6325.0,776950.0,-0.1265,7.7695,-0.06325,96.0,LE.Slow.C,LX1.Slow.C,10915.0,-730.0,0.3942
NQ,Fast,2024-11-14 15:50:00,2024-11-18 15:50:00,21267.0,20917.25,1.0,-6995.0,769955.0,-0.1399,7.69955,-0.1332,96.0,LE2.Fast.C,LX2.Fast.C,11510.0,-125.0,0.3881
NQ,Slow,2024-12-09 15:20:00,2024-12-11 15:20:00,21759.25,22053.5,1.0,5885.0,775840.0,0.1177,7.7584,-0.07435,48.0,LE.Slow.C,LX1.Slow.C,2405.0,-6940.0,0.8870999999999999
NQ,Fast,2024-12-09 15:50:00,2024-12-10 15:00:00,21760.75,21679.25,1.0,-1630.0,774210.0,-0.0326,7.7421,-0.09065,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C2,2435.0,-2645.0,0.1585
NQ,Fast,2024-12-10 15:50:00,2024-12-11 15:00:00,21722.25,22081.25,1.0,7180.0,781390.0,0.1436,7.8139,-0.01885,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,605.0,-7680.0,0.9396
NQ,Slow,2024-12-12 15:20:00,2024-12-13 15:20:00,21904.0,22055.5,1.0,3030.0,784420.0,0.0606,7.8442,0.0,24.0,LE.Slow.C,LX1.Slow.C,270.0,-5805.0,0.5432
NQ,Slow,2024-12-18 15:20:00,2024-12-20 10:40:00,21434.75,21762.75,1.0,6560.0,790980.0,0.1312,7.9098,0.0,43.333333333333336,LE.Slow.C,LX.M,8565.0,-6570.0,0.9993000000000001
NQ,Fast,2024-12-18 15:50:00,2024-12-20 10:40:00,21433.25,21762.75,1.0,6590.0,797570.0,0.1318,7.9757,0.0,42.833333333333336,LE2.Fast.C,LX.M,8535.0,-6600.0,0.9993000000000001
NQ,Slow,2024-12-30 15:20:00,2025-01-03 15:20:00,21387.5,21486.25,1.0,1975.0,799545.0,0.0395,7.99545,0.0,96.0,LE.Slow.C,LX1.Slow.C,8075.0,-3435.0,0.8732
NQ,Fast,2024-12-30 15:50:00,2025-01-03 15:00:00,21388.75,21506.5,1.0,2355.0,801900.0,0.0471,8.019,0.0,95.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,8100.0,-3410.0,0.9083
