Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
MNQ,Slow,2014-03-21 15:35:00,2014-03-31 15:35:00,5719.75,5659.75,2.0,-240.0,1131.0,-0.0192,0.04524,-0.0096,240.0,LE.Slow.C,LX1.Slow.C,419.0,-68.0,0.3676
MNQ,Fast,2014-03-21 15:50:00,2014-03-25 15:50:00,5720.5,5702.5,2.0,-72.0,1059.0,-0.00576,0.04236,-0.01248,96.0,LE2.Fast.C,LX2.Fast.C,261.0,-65.0,0.5798
MNQ,Fast,2014-03-26 15:50:00,2014-03-28 15:00:00,5653.0,5638.5,2.0,-58.0,1001.0,-0.00464,0.04004,-0.0148,47.166666666666664,LE1.Fast.C,LX.Gap.Fast.C,152.0,-112.0,0.35609999999999997
MNQ,Fast,2014-03-28 15:50:00,2014-03-31 15:00:00,5644.0,5667.25,2.0,93.0,1094.0,0.00744,0.04376,-0.01108,71.16666666666667,LE1.Fast.C,LX.Gap.Fast.C,5.0,-188.0,0.5078
MNQ,Fast,2014-03-31 15:50:00,2014-04-01 15:50:00,5662.0,5731.25,2.0,277.0,1371.0,0.02216,0.05484,0.0,24.0,LE2.Fast.C,LX2.Fast.C,15.0,-281.0,0.9865
MNQ,Slow,2014-04-04 15:35:00,2014-04-08 15:35:00,5619.0,5609.0,2.0,-40.0,1331.0,-0.0032,0.05324,-0.0016,96.0,LE.Slow.C,LX1.Slow.C,259.0,-16.0,0.7964
MNQ,Fast,2014-04-04 15:50:00,2014-04-08 15:50:00,5622.5,5609.0,2.0,-54.0,1277.0,-0.00432,0.05108,-0.00376,96.0,LE2.Fast.C,LX2.Fast.C,273.0,-0.0,0.8022
MNQ,Slow,2014-04-11 15:30:00,2014-04-14 15:35:00,5523.0,5550.5,2.0,110.0,1387.0,0.0088,0.05548,0.0,72.08333333333333,LE.Slow.C,LX1.Slow.C,72.0,-167.0,0.7615000000000001
MNQ,Fast,2014-04-11 15:50:00,2014-04-14 15:00:00,5524.0,5541.25,2.0,69.0,1456.0,0.00552,0.05824,0.0,71.16666666666667,LE1.Fast.C,LX.Gap.Fast.C,76.0,-163.0,0.6067
MNQ,Slow,2014-05-06 15:35:00,2014-05-12 15:35:00,5631.25,5688.0,2.0,227.0,1683.0,0.01816,0.06732,0.0,144.0,LE.Slow.C,LX1.Slow.C,216.0,-235.0,0.9823000000000001
MNQ,Fast,2014-05-06 15:50:00,2014-05-09 15:50:00,5630.75,5629.75,2.0,-4.0,1679.0,-0.00032,0.06716,-0.00016,72.0,LE2.Fast.C,LX2.Fast.C,214.0,-115.0,0.6383
MNQ,Slow,2014-05-15 15:20:00,2014-05-19 15:35:00,5642.75,5690.5,2.0,191.0,1870.0,0.01528,0.0748,0.0,96.25,LE.Slow.C,LX1.Slow.C,80.0,-218.0,0.9094
MNQ,Fast,2014-05-15 15:50:00,2014-05-16 15:50:00,5642.5,5663.25,2.0,83.0,1953.0,0.00664,0.07812,0.0,24.0,LE1.Fast.C,LX1.Fast.C,79.0,-107.0,0.871
MNQ,Slow,2014-07-08 15:35:00,2014-07-11 15:35:00,5949.5,5984.25,2.0,139.0,2092.0,0.01112,0.08368,0.0,72.0,LE.Slow.C,LX1.Slow.C,126.0,-144.0,0.9815
MNQ,Fast,2014-07-08 15:50:00,2014-07-09 15:50:00,5950.25,5973.75,2.0,94.0,2186.0,0.00752,0.08744,0.0,24.0,LE2.Fast.C,LX2.Fast.C,29.0,-108.0,0.8978
MNQ,Slow,2014-07-16 15:35:00,2014-07-18 15:35:00,6009.5,6017.0,2.0,30.0,2216.0,0.0024,0.08864,0.0,48.0,LE.Slow.C,LX1.Slow.C,276.0,-51.0,0.9358
MNQ,Fast,2014-07-16 15:50:00,2014-07-18 15:00:00,6008.75,6017.0,2.0,33.0,2249.0,0.00264,0.08996,0.0,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,273.0,-54.0,0.9358
MNQ,Fast,2014-07-24 15:50:00,2014-07-25 15:50:00,6052.5,6041.5,2.0,-44.0,2205.0,-0.00352,0.0882,-0.00176,24.0,LE2.Fast.C,LX2.Fast.C,114.0,-2.0,0.6034
MNQ,Slow,2014-07-31 15:35:00,2014-08-08 15:35:00,5982.25,5960.5,2.0,-87.0,2118.0,-0.00696,0.08472,-0.00524,192.0,LE.Slow.C,LX1.Slow.C,277.0,-80.0,0.5322
MNQ,Fast,2014-07-31 15:50:00,2014-08-04 15:00:00,5974.75,5994.75,2.0,80.0,2198.0,0.0064,0.08792,-0.00204,95.16666666666667,LE2.Fast.C,LX.Gap.Fast.C,163.0,-110.0,0.8901
MNQ,Slow,2014-09-04 15:35:00,2014-09-05 15:20:00,6156.25,6173.25,2.0,68.0,2266.0,0.00544,0.09064,0.0,23.75,LE.Slow.C,LX1.Slow.C,71.0,-79.0,0.9267
MNQ,Fast,2014-09-04 15:50:00,2014-09-05 15:50:00,6155.75,6175.75,2.0,80.0,2346.0,0.0064,0.09384,0.0,24.0,LE2.Fast.C,LX2.Fast.C,69.0,-81.0,0.9933
MNQ,Slow,2014-09-15 15:35:00,2014-09-17 15:35:00,6119.5,6159.0,2.0,158.0,2504.0,0.01264,0.10016,0.0,48.0,LE.Slow.C,LX1.Slow.C,85.0,-234.0,0.7618
MNQ,Fast,2014-09-15 15:50:00,2014-09-16 15:50:00,6119.5,6151.75,2.0,129.0,2633.0,0.01032,0.10532,0.0,24.0,LE2.Fast.C,LX2.Fast.C,85.0,-164.0,0.8593999999999999
MNQ,Slow,2014-09-23 15:35:00,2014-09-24 15:35:00,6131.5,6181.0,2.0,198.0,2831.0,0.01584,0.11324,0.0,24.0,LE.Slow.C,LX1.Slow.C,39.0,-210.0,0.9518000000000001
MNQ,Fast,2014-09-23 15:50:00,2014-09-24 15:50:00,6125.5,6181.0,2.0,222.0,3053.0,0.01776,0.12212,0.0,24.0,LE2.Fast.C,LX2.Fast.C,13.0,-234.0,0.9514
MNQ,Slow,2014-10-07 15:35:00,2014-10-08 15:35:00,6048.5,6126.25,2.0,311.0,3364.0,0.02488,0.13456,0.0,24.0,LE.Slow.C,LX1.Slow.C,95.0,-349.0,0.9144
MNQ,Fast,2014-10-07 15:50:00,2014-10-08 15:50:00,6046.75,6124.75,2.0,312.0,3676.0,0.02496,0.14704,0.0,24.0,LE2.Fast.C,LX2.Fast.C,88.0,-356.0,0.9009
MNQ,Fast,2014-10-13 15:50:00,2014-10-14 15:50:00,5892.0,5911.25,2.0,77.0,3753.0,0.00616,0.15012,0.0,24.0,LE2.Fast.C,LX2.Fast.C,20.0,-219.0,0.40590000000000004
MNQ,Slow,2014-11-03 15:35:00,2014-11-04 15:30:00,6250.75,6237.75,2.0,-52.0,3701.0,-0.00416,0.14804,-0.00208,23.916666666666668,LE.Slow.C,LX1.Slow.C,148.0,-30.0,0.5393
MNQ,Fast,2014-11-03 15:50:00,2014-11-04 15:50:00,6249.75,6240.0,2.0,-39.0,3662.0,-0.00312,0.14648,-0.00364,24.0,LE2.Fast.C,LX2.Fast.C,144.0,-34.0,0.5899
MNQ,Slow,2014-12-12 15:35:00,2014-12-15 15:35:00,6286.75,6255.0,2.0,-127.0,3535.0,-0.01016,0.1414,-0.00872,72.0,LE.Slow.C,LX.V140.Slow.C,188.0,-184.0,0.16399999999999998
MNQ,Fast,2014-12-12 15:50:00,2014-12-15 15:00:00,6286.25,6263.5,2.0,-91.0,3444.0,-0.00728,0.13776,-0.01236,71.16666666666667,LE2.Fast.C,LX.Gap.Fast.C,186.0,-186.0,0.2554
MNQ,Fast,2014-12-15 15:50:00,2014-12-16 15:50:00,6252.75,6185.5,2.0,-269.0,3175.0,-0.02152,0.127,-0.02312,24.0,LE2.Fast.C,LX2.V140.Fast.C,293.0,-143.0,0.055
MNQ,Slow,2014-12-17 15:35:00,2014-12-18 15:35:00,6258.5,6364.0,2.0,422.0,3597.0,0.03376,0.14388,-0.00624,24.0,LE.Slow.C,LX1.Slow.C,38.0,-440.0,0.9623
MNQ,Fast,2014-12-17 15:50:00,2014-12-18 15:00:00,6255.5,6359.5,2.0,416.0,4013.0,0.03328,0.16052,0.0,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,26.0,-417.0,0.9976999999999999
MNQ,Slow,2014-12-23 15:35:00,2014-12-24 12:05:00,6379.25,6381.0,2.0,7.0,4020.0,0.00056,0.1608,0.0,20.5,LE.Slow.C,LX1.Slow.C,16.0,-72.0,0.2614
MNQ,Fast,2014-12-23 15:50:00,2014-12-24 12:05:00,6379.5,6381.0,2.0,6.0,4026.0,0.00048,0.16104,0.0,20.25,LE2.Fast.C,LX2.Fast.C,17.0,-71.0,0.2614
MNQ,Slow,2014-12-31 15:35:00,2015-01-08 15:35:00,6334.5,6330.25,2.0,-17.0,4009.0,-0.00136,0.16036,-0.00068,192.0,LE.Slow.C,LX1.Slow.C,615.0,-148.0,0.7837000000000001
MNQ,Fast,2014-12-31 15:50:00,2015-01-07 15:50:00,6333.5,6252.25,2.0,-325.0,3684.0,-0.026,0.14736,-0.01368,168.0,LE2.Fast.C,LX2.Fast.C,611.0,-152.0,0.37479999999999997
MNQ,Slow,2015-01-12 15:35:00,2015-01-16 15:35:00,6266.75,6233.5,2.0,-133.0,3551.0,-0.01064,0.14204,-0.019,96.0,LE.Slow.C,LX1.Slow.C,506.0,-319.0,0.4521
MNQ,Fast,2015-01-12 15:50:00,2015-01-13 15:00:00,6267.5,6255.25,2.0,-49.0,3502.0,-0.00392,0.14008,-0.02096,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,168.0,-316.0,0.2459
MNQ,Fast,2015-01-13 15:50:00,2015-01-16 15:50:00,6263.0,6234.75,2.0,-113.0,3389.0,-0.00904,0.13556,-0.02548,72.0,LE2.Fast.C,LX2.Fast.C,491.0,-103.0,0.6364
MNQ,Slow,2015-01-28 15:35:00,2015-01-29 15:35:00,6222.75,6283.75,2.0,244.0,3633.0,0.01952,0.14532,-0.01572,24.0,LE.Slow.C,LX1.Slow.C,113.0,-258.0,0.9623
MNQ,Slow,2015-01-30 15:35:00,2015-02-02 15:35:00,6243.0,6281.0,2.0,152.0,3785.0,0.01216,0.1514,-0.00964,72.0,LE.Slow.C,LX1.Slow.C,235.0,-175.0,0.9439
MNQ,Fast,2015-01-30 15:50:00,2015-02-02 15:00:00,6239.75,6276.0,2.0,145.0,3930.0,0.0116,0.1572,-0.00384,71.16666666666667,LE2.Fast.C,LX.Gap.Fast.C,222.0,-164.0,0.9508
MNQ,Slow,2015-03-10 15:35:00,2015-03-16 15:35:00,6431.0,6456.5,2.0,102.0,4032.0,0.00816,0.16128,0.0,144.0,LE.Slow.C,LX1.Slow.C,178.0,-159.0,0.8309000000000001
MNQ,Fast,2015-03-10 15:50:00,2015-03-12 15:00:00,6431.75,6436.5,2.0,19.0,4051.0,0.00152,0.16204,0.0,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,137.0,-58.0,0.8
MNQ,Slow,2015-03-23 15:35:00,2015-03-30 15:35:00,6542.25,6479.5,2.0,-251.0,3800.0,-0.02008,0.152,-0.01004,168.0,LE.Slow.C,LX1.Slow.C,669.0,-95.0,0.5471
MNQ,Fast,2015-03-23 15:50:00,2015-03-27 15:50:00,6543.0,6428.25,2.0,-459.0,3341.0,-0.03672,0.13364,-0.0284,96.0,LE2.Fast.C,LX2.Fast.C,672.0,-92.0,0.2788
